Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteAPI,,,,2022-12-09 20:51:56,2022-12-09 20:53:40,1m - 44.003s,FAILED
,,,,,,,
Test Cases/TC_Auth_Login,,,,2022-12-09 20:51:57,2022-12-09 20:52:07,10.397s,FAILED
"response = sendRequest(findTestObject(""Auth/AA007_Login""))",,,,2022-12-09 20:51:58,2022-12-09 20:52:07,8.633s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:07,2022-12-09 20:52:07,0.685s,FAILED
,,,,,,,
Test Cases/TC_Auth_Register,,,,2022-12-09 20:52:08,2022-12-09 20:52:09,1.839s,PASSED
"response = sendRequest(findTestObject(""Auth/AA001_Register""))",,,,2022-12-09 20:52:08,2022-12-09 20:52:08,0.279s,PASSED
"verifyResponseStatusCode(response, statusCode1)",,,,2022-12-09 20:52:08,2022-12-09 20:52:08,0.003s,PASSED
"response = sendRequest(findTestObject(""Auth/AA004_NegRegBod""))",,,,2022-12-09 20:52:08,2022-12-09 20:52:09,0.214s,PASSED
"verifyResponseStatusCode(response, statusCode2)",,,,2022-12-09 20:52:09,2022-12-09 20:52:09,0.004s,PASSED
"response = sendRequest(findTestObject(""Auth/AA005_NegRegGet""))",,,,2022-12-09 20:52:09,2022-12-09 20:52:09,0.230s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:52:09,2022-12-09 20:52:09,0.004s,PASSED
"response = sendRequest(findTestObject(""Auth/AA006_NegRegPut""))",,,,2022-12-09 20:52:09,2022-12-09 20:52:09,0.469s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:52:09,2022-12-09 20:52:09,0.004s,PASSED
,,,,,,,
Test Cases/TC_Auth_ReqOTP,,,,2022-12-09 20:52:09,2022-12-09 20:52:12,3.109s,PASSED
"response = sendRequest(findTestObject(""Auth/AA013_RequestOTP""))",,,,2022-12-09 20:52:10,2022-12-09 20:52:10,0.269s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:10,2022-12-09 20:52:10,0.007s,PASSED
"response = sendRequest(findTestObject(""Auth/AA014_ReqLinkBod""))",,,,2022-12-09 20:52:10,2022-12-09 20:52:11,0.458s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:11,2022-12-09 20:52:11,0.010s,PASSED
"response = sendRequest(findTestObject(""Auth/AA015_ReqLink""))",,,,2022-12-09 20:52:11,2022-12-09 20:52:11,0.385s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:11,2022-12-09 20:52:11,0.010s,PASSED
"response = sendRequest(findTestObject(""Auth/AA016_ReqBod""))",,,,2022-12-09 20:52:11,2022-12-09 20:52:11,0.380s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:11,2022-12-09 20:52:11,0.008s,PASSED
"response = sendRequest(findTestObject(""Auth/AA017_ReqGet""))",,,,2022-12-09 20:52:11,2022-12-09 20:52:12,0.667s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:52:12,2022-12-09 20:52:12,0.007s,PASSED
"response = sendRequest(findTestObject(""Auth/AA018_ReqPut""))",,,,2022-12-09 20:52:12,2022-12-09 20:52:12,0.367s,PASSED
"verifyResponseStatusCode(response, statusCode3)",,,,2022-12-09 20:52:12,2022-12-09 20:52:12,0.008s,PASSED
,,,,,,,
Test Cases/TC_Auth_UpdatePass,,,,2022-12-09 20:52:12,2022-12-09 20:52:14,1.988s,FAILED
"response = sendRequest(findTestObject(""Auth/AA036_updatePass""))",,,,2022-12-09 20:52:14,2022-12-09 20:52:14,0.673s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:14,2022-12-09 20:52:14,0.019s,FAILED
,,,,,,,
Test Cases/TC_Auth_UpdateProfile,,,,2022-12-09 20:52:14,2022-12-09 20:52:16,1.098s,FAILED
"response = sendRequest(findTestObject(""Auth/AA031_UpdateProfile""))",,,,2022-12-09 20:52:15,2022-12-09 20:52:16,0.400s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:16,2022-12-09 20:52:16,0.016s,FAILED
,,,,,,,
Test Cases/TC_Admin_allUser,,,,2022-12-09 20:52:16,2022-12-09 20:52:21,4.915s,PASSED
"response = sendRequest(findTestObject(""Admin/AD001_GetAllUser""))",,,,2022-12-09 20:52:17,2022-12-09 20:52:18,1.595s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:18,2022-12-09 20:52:18,0.007s,PASSED
"response = sendRequest(findTestObject(""Admin/AD002_GetAllUserLink""))",,,,2022-12-09 20:52:18,2022-12-09 20:52:20,1.446s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:20,2022-12-09 20:52:20,0.006s,PASSED
"response = sendRequest(findTestObject(""Admin/AD003_GetAllUserPost""))",,,,2022-12-09 20:52:20,2022-12-09 20:52:21,0.706s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:21,2022-12-09 20:52:21,0.007s,PASSED
,,,,,,,
Test Cases/TC_Admin_DeleteID,,,,2022-12-09 20:52:21,2022-12-09 20:52:23,2.445s,PASSED
"response = sendRequest(findTestObject(""Admin/AD015_DeleteID""))",,,,2022-12-09 20:52:22,2022-12-09 20:52:22,0.447s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:22,2022-12-09 20:52:22,0.008s,PASSED
"response = sendRequest(findTestObject(""Admin/AD016_DeleteIDLink""))",,,,2022-12-09 20:52:22,2022-12-09 20:52:23,0.407s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:23,2022-12-09 20:52:23,0.003s,PASSED
"response = sendRequest(findTestObject(""Admin/AD017_DeleteIDPost""))",,,,2022-12-09 20:52:23,2022-12-09 20:52:23,0.372s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:23,2022-12-09 20:52:23,0.003s,PASSED
,,,,,,,
Test Cases/TC_Admin_UpdateUserbyID,,,,2022-12-09 20:52:23,2022-12-09 20:52:36,13.247s,PASSED
"response = sendRequest(findTestObject(""Admin/AD009_UpdateUser""))",,,,2022-12-09 20:52:24,2022-12-09 20:52:24,0.401s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:24,2022-12-09 20:52:24,0.002s,PASSED
"response = sendRequest(findTestObject(""Admin/AD010_UpdateIDLinkBod""))",,,,2022-12-09 20:52:24,2022-12-09 20:52:25,0.408s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:25,2022-12-09 20:52:25,0.008s,PASSED
"response = sendRequest(findTestObject(""Admin/AD011_UpdateIDLink""))",,,,2022-12-09 20:52:25,2022-12-09 20:52:25,0.406s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:25,2022-12-09 20:52:25,0.007s,PASSED
"response = sendRequest(findTestObject(""Admin/AD012_UpdateIDBod""))",,,,2022-12-09 20:52:25,2022-12-09 20:52:25,0.477s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:25,2022-12-09 20:52:25,0.007s,PASSED
"response = sendRequest(findTestObject(""Admin/AD013_UpdateIDGet""))",,,,2022-12-09 20:52:25,2022-12-09 20:52:26,0.512s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:26,2022-12-09 20:52:26,0.006s,PASSED
"response = sendRequest(findTestObject(""Admin/AD014_UpdateIDPost""))",,,,2022-12-09 20:52:26,2022-12-09 20:52:36,10.231s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:36,2022-12-09 20:52:36,0.006s,PASSED
,,,,,,,
Test Cases/TC_Admin_UserByID,,,,2022-12-09 20:52:36,2022-12-09 20:52:40,3.339s,PASSED
"response = sendRequest(findTestObject(""Admin/AD005_GetUserID""))",,,,2022-12-09 20:52:37,2022-12-09 20:52:39,1.571s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:39,2022-12-09 20:52:39,0.007s,PASSED
"response = sendRequest(findTestObject(""Admin/AD006_GetIDPOST""))",,,,2022-12-09 20:52:39,2022-12-09 20:52:39,0.501s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:39,2022-12-09 20:52:39,0.006s,PASSED
"response = sendRequest(findTestObject(""Admin/AD007_GetIDPost""))",,,,2022-12-09 20:52:39,2022-12-09 20:52:40,0.446s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:40,2022-12-09 20:52:40,0.004s,PASSED
,,,,,,,
Test Cases/TC_User_DetailProf,,,,2022-12-09 20:52:40,2022-12-09 20:52:41,1.637s,PASSED
"response = sendRequest(findTestObject(""User/AB001_GetProf""))",,,,2022-12-09 20:52:40,2022-12-09 20:52:40,0.232s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:40,2022-12-09 20:52:40,0.002s,PASSED
"response = sendRequest(findTestObject(""User/AB002_getProfLink""))",,,,2022-12-09 20:52:40,2022-12-09 20:52:41,0.232s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.005s,PASSED
"response = sendRequest(findTestObject(""User/AB003_GetProfPost""))",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.333s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.004s,PASSED
"response = sendRequest(findTestObject(""User/AB004_GetProfPut""))",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.255s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.004s,PASSED
,,,,,,,
Test Cases/TC_User_TotalUser,,,,2022-12-09 20:52:41,2022-12-09 20:52:44,2.799s,PASSED
"response = sendRequest(findTestObject(""User/AB005_GetTotalUser""))",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.288s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.003s,PASSED
"response = sendRequest(findTestObject(""User/AB006_New Request""))",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.280s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.003s,PASSED
"response = sendRequest(findTestObject(""User/AB003_GetProfPost""))",,,,2022-12-09 20:52:42,2022-12-09 20:52:44,1.263s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:44,2022-12-09 20:52:44,0.006s,PASSED
"response = sendRequest(findTestObject(""User/AB004_GetProfPut""))",,,,2022-12-09 20:52:44,2022-12-09 20:52:44,0.415s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:44,2022-12-09 20:52:44,0.003s,PASSED
,,,,,,,
Test Cases/TC_Product_CategoryList,,,,2022-12-09 20:52:44,2022-12-09 20:52:46,1.649s,PASSED
"response = sendRequest(findTestObject(""Product/AE015_GetCategoryList""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.229s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.002s,PASSED
"response = sendRequest(findTestObject(""Product/AE016_GetCateListLink""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.362s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.002s,PASSED
"response = sendRequest(findTestObject(""Product/AE013_TotProdPost""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.241s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE018_GetCateListPut""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:46,0.297s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:46,2022-12-09 20:52:46,0.005s,PASSED
,,,,,,,
Test Cases/TC_Product_CategoryListByProductType,,,,2022-12-09 20:52:46,2022-12-09 20:52:47,1.294s,PASSED
"response = sendRequest(findTestObject(""Product/AE019_GetCateListByProdType""))",,,,2022-12-09 20:52:46,2022-12-09 20:52:46,0.269s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:46,2022-12-09 20:52:46,0.002s,PASSED
"response = sendRequest(findTestObject(""Product/AE021_GetCateListByProdTypePost""))",,,,2022-12-09 20:52:46,2022-12-09 20:52:47,0.268s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:47,2022-12-09 20:52:47,0.003s,PASSED
"response = sendRequest(findTestObject(""Product/AE022_GetCateListByProdTypePut""))",,,,2022-12-09 20:52:47,2022-12-09 20:52:47,0.248s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:47,2022-12-09 20:52:47,0.003s,PASSED
,,,,,,,
Test Cases/TC_Product_CreateProduct,,,,2022-12-09 20:52:47,2022-12-09 20:52:48,0.734s,FAILED
"response = sendRequest(findTestObject(""Product/AE001_CreateProduct""))",,,,2022-12-09 20:52:48,2022-12-09 20:52:48,0.232s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:48,2022-12-09 20:52:48,0.004s,FAILED
,,,,,,,
Test Cases/TC_Product_GetAllProduct,,,,2022-12-09 20:52:48,2022-12-09 20:52:50,2.668s,PASSED
"response = sendRequest(findTestObject(""Product/AE007_GetAllProduct""))",,,,2022-12-09 20:52:48,2022-12-09 20:52:49,0.922s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:49,2022-12-09 20:52:49,0.010s,PASSED
"response = sendRequest(findTestObject(""Product/AE008_AllProdLink""))",,,,2022-12-09 20:52:49,2022-12-09 20:52:50,0.376s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE009_AllProdPost""))",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.393s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.008s,PASSED
"response = sendRequest(findTestObject(""Product/AE010_AllProdPut""))",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.408s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:50,2022-12-09 20:52:50,0.006s,PASSED
,,,,,,,
Test Cases/TC_Product_ProductListByCategory,,,,2022-12-09 20:52:50,2022-12-09 20:52:54,3.472s,PASSED
"response = sendRequest(findTestObject(""Product/AE024_GetCateListByProdData""))",,,,2022-12-09 20:52:52,2022-12-09 20:52:52,0.502s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:52,2022-12-09 20:52:52,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE025_GetCateListByProdPulsa""))",,,,2022-12-09 20:52:52,2022-12-09 20:52:53,0.486s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE026_GetCateListByProdLink""))",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.420s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE027_GetCateListByProdPost""))",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.331s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:53,2022-12-09 20:52:53,0.008s,PASSED
"response = sendRequest(findTestObject(""Product/AE028_GetCateListByProdPut""))",,,,2022-12-09 20:52:53,2022-12-09 20:52:54,0.448s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:54,2022-12-09 20:52:54,0.004s,PASSED
,,,,,,,
