Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/TC_Product_ProductListByType,,,,2022-12-09 20:52:54,2022-12-09 20:52:57,3.506s,PASSED
"response = sendRequest(findTestObject(""Product/AE029_GetProdListByTypeDaily""))",,,,2022-12-09 20:52:55,2022-12-09 20:52:56,0.430s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE030_GetProdListByTypeBills""))",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.426s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE031_GetProdListByTypeLink""))",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.423s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:56,2022-12-09 20:52:56,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE032_GetProdListByTypePost""))",,,,2022-12-09 20:52:56,2022-12-09 20:52:57,0.491s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:57,2022-12-09 20:52:57,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE033_GetProdListByTypePut""))",,,,2022-12-09 20:52:57,2022-12-09 20:52:57,0.439s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:57,2022-12-09 20:52:57,0.011s,PASSED
,,,,,,,
Test Cases/TC_Product_TotalProduct,,,,2022-12-09 20:52:57,2022-12-09 20:53:00,2.933s,PASSED
"response = sendRequest(findTestObject(""Product/AE011_GetTotalProduct""))",,,,2022-12-09 20:52:59,2022-12-09 20:52:59,0.439s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:59,2022-12-09 20:52:59,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE012_TotalProdLink""))",,,,2022-12-09 20:52:59,2022-12-09 20:53:00,0.413s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:00,2022-12-09 20:53:00,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE013_TotProdPost""))",,,,2022-12-09 20:53:00,2022-12-09 20:53:00,0.419s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:00,2022-12-09 20:53:00,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE014_TotProdPut""))",,,,2022-12-09 20:53:00,2022-12-09 20:53:00,0.406s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:53:00,2022-12-09 20:53:00,0.006s,PASSED
,,,,,,,
Test Cases/TC_ProductListByType,,,,2022-12-09 20:53:00,2022-12-09 20:53:04,3.534s,PASSED
"response = sendRequest(findTestObject(""Product/AE029_GetProdListByTypeDaily""))",,,,2022-12-09 20:53:02,2022-12-09 20:53:02,0.492s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:02,2022-12-09 20:53:02,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE030_GetProdListByTypeBills""))",,,,2022-12-09 20:53:02,2022-12-09 20:53:03,0.461s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:03,2022-12-09 20:53:03,0.006s,PASSED
"response = sendRequest(findTestObject(""Product/AE031_GetProdListByTypeLink""))",,,,2022-12-09 20:53:03,2022-12-09 20:53:03,0.437s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:03,2022-12-09 20:53:03,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE032_GetProdListByTypePost""))",,,,2022-12-09 20:53:03,2022-12-09 20:53:03,0.422s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:03,2022-12-09 20:53:03,0.005s,PASSED
"response = sendRequest(findTestObject(""Product/AE033_GetProdListByTypePut""))",,,,2022-12-09 20:53:03,2022-12-09 20:53:04,0.438s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:53:04,2022-12-09 20:53:04,0.004s,PASSED
,,,,,,,
Test Cases/TC_Trans_AllTrans,,,,2022-12-09 20:53:04,2022-12-09 20:53:08,4.442s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC023_GetAllTrans""))",,,,2022-12-09 20:53:05,2022-12-09 20:53:06,0.759s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:06,2022-12-09 20:53:06,0.008s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC024_GetAllTransFail""))",,,,2022-12-09 20:53:06,2022-12-09 20:53:07,0.776s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:07,2022-12-09 20:53:07,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC025_GetAllTransPend""))",,,,2022-12-09 20:53:07,2022-12-09 20:53:07,0.672s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:07,2022-12-09 20:53:07,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC026_GetAllTransLink""))",,,,2022-12-09 20:53:07,2022-12-09 20:53:08,0.332s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:08,2022-12-09 20:53:08,0.004s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC027_GetAllTransPost""))",,,,2022-12-09 20:53:08,2022-12-09 20:53:08,0.307s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:08,2022-12-09 20:53:08,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC028_GetAllTransPut""))",,,,2022-12-09 20:53:08,2022-12-09 20:53:08,0.343s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:08,2022-12-09 20:53:08,0.002s,PASSED
,,,,,,,
Test Cases/TC_Trans_LoginUser,,,,2022-12-09 20:53:08,2022-12-09 20:53:11,2.249s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC001_loginUser""))",,,,2022-12-09 20:53:09,2022-12-09 20:53:09,0.380s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:09,2022-12-09 20:53:09,0.004s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC002_LogUserLink""))",,,,2022-12-09 20:53:09,2022-12-09 20:53:10,0.399s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:10,2022-12-09 20:53:10,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC003_LogUserPOST""))",,,,2022-12-09 20:53:10,2022-12-09 20:53:10,0.406s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:10,2022-12-09 20:53:10,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC004_LogUserPut""))",,,,2022-12-09 20:53:10,2022-12-09 20:53:11,0.420s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:53:11,2022-12-09 20:53:11,0.005s,PASSED
,,,,,,,
Test Cases/TC_Trans_RevTrans,,,,2022-12-09 20:53:11,2022-12-09 20:53:15,4.095s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC037_RevTrans""))",,,,2022-12-09 20:53:12,2022-12-09 20:53:13,0.524s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:13,2022-12-09 20:53:13,0.006s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC038_RevTransLinkBod""))",,,,2022-12-09 20:53:13,2022-12-09 20:53:13,0.442s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:13,2022-12-09 20:53:13,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC039_RevTransLink""))",,,,2022-12-09 20:53:13,2022-12-09 20:53:13,0.441s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:13,2022-12-09 20:53:13,0.007s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC040_RevTransBod""))",,,,2022-12-09 20:53:13,2022-12-09 20:53:14,0.410s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:53:14,2022-12-09 20:53:14,0.007s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC041_RevTransGet""))",,,,2022-12-09 20:53:14,2022-12-09 20:53:14,0.479s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:14,2022-12-09 20:53:14,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC042_RevTransPut""))",,,,2022-12-09 20:53:14,2022-12-09 20:53:15,0.420s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:15,2022-12-09 20:53:15,0.006s,PASSED
,,,,,,,
Test Cases/TC_Trans_SubTrans,,,,2022-12-09 20:53:15,2022-12-09 20:53:21,6.139s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC031_SubTrans""))",,,,2022-12-09 20:53:16,2022-12-09 20:53:19,2.745s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:19,2022-12-09 20:53:19,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC032_SubTransLinkBod""))",,,,2022-12-09 20:53:19,2022-12-09 20:53:19,0.467s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:19,2022-12-09 20:53:19,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC033_SubTransLink""))",,,,2022-12-09 20:53:19,2022-12-09 20:53:20,0.455s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:20,2022-12-09 20:53:20,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC034_SubTransBod""))",,,,2022-12-09 20:53:20,2022-12-09 20:53:20,0.420s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:20,2022-12-09 20:53:20,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC035_SubTransPut""))",,,,2022-12-09 20:53:20,2022-12-09 20:53:20,0.381s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:20,2022-12-09 20:53:20,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC036_SubTransGet""))",,,,2022-12-09 20:53:20,2022-12-09 20:53:21,0.404s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:21,2022-12-09 20:53:21,0.006s,PASSED
,,,,,,,
Test Cases/TC_Trans_TotalTrans,,,,2022-12-09 20:53:21,2022-12-09 20:53:23,2.070s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC029_TotalTrans""))",,,,2022-12-09 20:53:22,2022-12-09 20:53:23,0.413s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:23,2022-12-09 20:53:23,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC030_TotalTransLink""))",,,,2022-12-09 20:53:23,2022-12-09 20:53:23,0.392s,PASSED
"verifyResponseStatusCode(response, statusCode7)",,,,2022-12-09 20:53:23,2022-12-09 20:53:23,0.005s,PASSED
,,,,,,,
Test Cases/TC_Trans_TransHist,,,,2022-12-09 20:53:23,2022-12-09 20:53:26,3.090s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC009_TransactionHist""))",,,,2022-12-09 20:53:24,2022-12-09 20:53:25,0.454s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:25,2022-12-09 20:53:25,0.004s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC010_TransHistLink""))",,,,2022-12-09 20:53:25,2022-12-09 20:53:25,0.550s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:25,2022-12-09 20:53:25,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC011_TransHistPost""))",,,,2022-12-09 20:53:25,2022-12-09 20:53:26,0.412s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:26,2022-12-09 20:53:26,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC012_TransHistPut""))",,,,2022-12-09 20:53:26,2022-12-09 20:53:26,0.400s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:26,2022-12-09 20:53:26,0.005s,PASSED
,,,,,,,
Test Cases/TC_Trans_TransHistID,,,,2022-12-09 20:53:26,2022-12-09 20:53:29,2.968s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC013_TransID""))",,,,2022-12-09 20:53:27,2022-12-09 20:53:28,0.422s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:28,2022-12-09 20:53:28,0.004s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC014_TransHistIDWrong""))",,,,2022-12-09 20:53:28,2022-12-09 20:53:28,0.407s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:28,2022-12-09 20:53:28,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC015_TransHistIDPost""))",,,,2022-12-09 20:53:28,2022-12-09 20:53:29,0.488s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:29,2022-12-09 20:53:29,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC016_TransHistIDPut""))",,,,2022-12-09 20:53:29,2022-12-09 20:53:29,0.421s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:29,2022-12-09 20:53:29,0.005s,PASSED
,,,,,,,
Test Cases/TC_Trans_UpTransStat,,,,2022-12-09 20:53:29,2022-12-09 20:53:33,3.434s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC017_UpdateTransStat""))",,,,2022-12-09 20:53:30,2022-12-09 20:53:31,0.887s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:31,2022-12-09 20:53:31,0.007s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC020_UpTransStatBod""))",,,,2022-12-09 20:53:31,2022-12-09 20:53:32,0.419s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:32,2022-12-09 20:53:32,0.004s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC021_UpTransStatGet""))",,,,2022-12-09 20:53:32,2022-12-09 20:53:32,0.428s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:32,2022-12-09 20:53:32,0.006s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC022_UpTransStatPost""))",,,,2022-12-09 20:53:32,2022-12-09 20:53:32,0.414s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:32,2022-12-09 20:53:32,0.006s,PASSED
,,,,,,,
Test Cases/TC_TransLoginAdmin,,,,2022-12-09 20:53:33,2022-12-09 20:53:40,7.844s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC005_loginAdmin""))",,,,2022-12-09 20:53:34,2022-12-09 20:53:35,1.605s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:53:35,2022-12-09 20:53:35,0.006s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC006_LogAdmLink""))",,,,2022-12-09 20:53:35,2022-12-09 20:53:36,0.430s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:53:36,2022-12-09 20:53:36,0.005s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC007_LogAdmPOST""))",,,,2022-12-09 20:53:36,2022-12-09 20:53:39,2.818s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:53:39,2022-12-09 20:53:39,0.004s,PASSED
"response = sendRequest(findTestObject(""Transaction/AC008_LogAdPut""))",,,,2022-12-09 20:53:39,2022-12-09 20:53:40,1.748s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:53:40,2022-12-09 20:53:40,0.003s,PASSED
